DFS,BFS,AStar,Dijkstra
0.0006151199340820312,0.019616365432739258,0.0035049915313720703,0.06880545616149902
0.017902135848999023,0.06829476356506348,0.0048236846923828125,0.08848714828491211
0.027841806411743164,0.06888675689697266,0.004742145538330078,0.08205199241638184
0.038634538650512695,0.004887104034423828,0.0032722949981689453,0.03659200668334961
0.008529901504516602,0.0026357173919677734,0.0011355876922607422,0.0291597843170166
0.0633087158203125,0.0008881092071533203,0.0011205673217773438,0.014714717864990234
0.0016772747039794922,0.07795476913452148,0.0066454410552978516,0.0924842357635498
0.05680489540100098,0.0639805793762207,0.0048825740814208984,0.0762624740600586
0.02401447296142578,0.057855844497680664,0.0044896602630615234,0.0792696475982666
0.05134725570678711,0.028604745864868164,0.0033693313598632812,0.07361102104187012
0.020976781845092773,0.007417440414428711,0.001828908920288086,0.05246233940124512
0.008868932723999023,0.0593719482421875,0.0051004886627197266,0.08713483810424805
0.05010867118835449,0.012048721313476562,0.002188444137573242,0.056160688400268555
0.005975008010864258,0.06811833381652832,0.006028890609741211,0.08593320846557617
0.07042837142944336,0.07040691375732422,0.005549907684326172,0.08697080612182617
0.07376360893249512,0.04448962211608887,0.0050182342529296875,0.07846498489379883
0.01865220069885254,0.009566068649291992,0.0020117759704589844,0.04777121543884277
0.05606651306152344,0.059188127517700195,0.003631114959716797,0.08583855628967285
0.05471611022949219,0.041219234466552734,0.003613710403442383,0.07689380645751953
0.0016484260559082031,0.0014629364013671875,0.00104522705078125,0.02198195457458496
0.00031566619873046875,0.028360843658447266,0.0023391246795654297,0.06936430931091309
0.0001621246337890625,0.000278472900390625,0.0010161399841308594,0.006600618362426758
0.01737666130065918,0.006058216094970703,0.0017900466918945312,0.0356440544128418
0.03436136245727539,9.012222290039062e-05,0.0009903907775878906,0.0031156539916992188
0.04713559150695801,0.04511094093322754,0.005981922149658203,0.0854029655456543
0.00830984115600586,0.01230001449584961,0.0018355846405029297,0.05568718910217285
0.06974339485168457,0.03129863739013672,0.0030906200408935547,0.07046961784362793
0.035604000091552734,0.04993009567260742,0.0021529197692871094,0.0858757495880127
0.0034995079040527344,0.04120016098022461,0.002985715866088867,0.08477950096130371
0.04519486427307129,0.009471654891967773,0.0017924308776855469,0.050008535385131836
